venue_id,recept_in,recept_out,recept_overall
truist-park,-0.62,2.61,2.00
nationals-park,1.19,1.92,3.11
citizens-bank-park,4.08,1.33,5.41
globe-life-field,0.79,1.34,2.13
dodger-stadium,3.19,-0.32,2.88
yankee-stadium,3.90,1.53,5.43
fenway-park,1.20,4.58,5.78
kauffman-stadium,1.99,0.65,2.64
angel-stadium,3.32,-2.36,0.96
target-field,-0.11,1.62,1.51
camden-yards,0.62,2.40,3.02
american-family-field,-0.55,0.50,-0.04
rogers-centre,-1.37,-1.02,-2.39
coors-field,1.81,0.82,2.63
great-american-ball-park,2.87,-1.60,1.27
busch-stadium,1.28,2.63,3.91
sutter-health-park,2.52,1.01,3.53
rate-field,-0.38,1.27,0.90
loandepot-park,2.01,0.04,2.06
comerica-park,4.69,0.36,5.05
petco-park,1.64,0.68,2.32
chase-field,1.09,0.19,1.28
pnc-park,2.48,0.84,3.32
wrigley-field,4.72,4.43,9.15
t-mobile-park,1.35,2.32,3.67
tropicana-field,1.39,0.45,1.85
progressive-field,2.47,0.75,3.22
citi-field,-0.43,0.16,-0.27
daikin-park,-3.21,1.83,-1.38
oracle-park,0.82,0.08,0.90
