grouping_venue_conditions,index_1b,index_2b,index_3b,index_bacon,index_bb,index_hardhit,index_hits,index_hr,index_obp,index_runs,index_so,index_woba,index_wobacon,index_wobatto,index_xbacon,index_xwobacon,key_bat_side,key_is_year_rolling,key_num_years_rolling,key_year,main_team_id,n_pa,name_display_club,venue_id,venue_name,year_range
All,98,93,84,98,103,99,97,96,100,98,99,99,97,100,98,98,L,1,3,2026,108,18137,Angels,1,Angel Stadium,2024-2026
All,102,97,90,102,98,103,104,121,101,106,97,103,104,103,99,101,L,1,3,2026,110,24868,Orioles,2,Oriole Park at Camden Yards,2024-2026
All,101,137,87,102,97,102,105,82,104,106,91,103,100,99,100,99,L,1,3,2026,111,23125,Red Sox,3,Fenway Park,2024-2026
All,96,90,90,97,110,97,96,102,101,100,99,100,98,102,99,99,L,1,3,2026,145,22419,White Sox,4,Rate Field,2024-2026
All,99,101,53,98,96,95,99,101,98,96,99,98,98,100,98,97,L,1,3,2026,114,27547,Guardians,5,Progressive Field,2024-2026
All,104,124,182,101,96,104,105,77,102,102,90,101,99,98,101,100,L,1,3,2026,118,21287,Royals,7,Kauffman Stadium,2024-2026
All,95,89,95,94,95,92,93,90,92,85,107,92,93,96,98,97,L,1,3,2026,139,13560,Rays,12,Tropicana Field,2024-2026
All,94,109,72,99,94,97,98,106,98,98,106,99,101,99,101,100,L,1,3,2026,141,22193,Blue Jays,14,Rogers Centre,2024-2026
All,104,112,206,99,96,103,104,78,101,100,91,100,98,98,100,98,L,1,3,2026,109,22855,D-backs,15,Chase Field,2024-2026
All,100,83,138,100,100,101,97,101,98,96,107,98,100,99,99,100,L,1,3,2026,112,21620,Cubs,17,Wrigley Field,2024-2026
All,114,120,199,112,105,100,117,116,112,130,87,114,113,105,103,102,L,1,3,2026,115,21551,Rockies,19,Coors Field,2024-2026
All,93,91,60,98,98,104,96,119,97,98,105,99,100,102,102,103,L,1,3,2026,119,24368,Dodgers,22,UNIQLO Field at Dodger Stadium,2024-2026
All,98,129,75,103,99,104,103,97,103,106,98,103,103,100,101,103,L,1,3,2026,134,21670,Pirates,31,PNC Park,2024-2026
All,98,85,113,100,105,94,95,94,97,92,115,96,99,96,99,98,L,1,3,2026,158,22582,Brewers,32,American Family Field,2024-2026
All,92,90,32,95,96,101,91,97,93,85,114,92,95,96,101,101,L,1,3,2026,136,23897,Mariners,680,T-Mobile Park,2024-2026
All,98,89,63,102,108,105,99,123,101,104,109,102,105,103,101,103,L,1,3,2026,117,17762,Astros,2392,Daikin Park,2024-2026
All,101,89,203,100,97,99,101,98,100,100,100,100,101,99,99,99,L,1,3,2026,116,22506,Tigers,2394,Comerica Park,2024-2026
All,103,108,140,100,97,98,101,73,99,96,98,98,97,96,99,98,L,1,3,2026,137,21320,Giants,2395,Oracle Park,2024-2026
All,97,97,87,103,108,96,100,122,103,108,106,104,106,103,101,101,L,1,3,2026,113,19671,Reds,2602,Great American Ball Park,2024-2026
All,97,90,76,95,104,96,94,92,97,92,99,96,94,99,98,98,L,1,3,2026,135,22171,Padres,2680,Petco Park,2024-2026
All,98,94,83,104,103,99,102,131,101,108,106,104,107,104,100,101,L,1,3,2026,143,22044,Phillies,2681,Citizens Bank Park,2024-2026
All,107,104,69,96,92,103,100,72,98,90,92,95,93,96,99,99,L,1,3,2026,138,22191,Cardinals,2889,Busch Stadium,2024-2026
All,100,96,73,100,107,99,98,94,101,100,102,100,99,99,100,99,L,1,3,2026,121,23606,Mets,3289,Citi Field,2024-2026
All,107,99,99,102,95,103,105,108,103,106,92,103,102,102,104,105,L,1,3,2026,120,24808,Nationals,3309,Nationals Park,2024-2026
All,104,103,82,102,94,100,102,93,100,100,101,100,101,98,100,100,L,1,3,2026,142,23438,Twins,3312,Target Field,2024-2026
All,91,96,59,98,120,105,95,121,102,106,100,103,101,106,100,102,L,1,3,2026,147,25031,Yankees,3313,Yankee Stadium,2024-2026
All,104,101,131,102,101,102,103,93,102,104,98,102,101,100,99,100,L,1,3,2026,146,22875,Marlins,4169,loanDepot park,2024-2026
All,105,90,76,100,96,98,102,106,100,100,99,100,100,101,100,99,L,1,3,2026,144,21989,Braves,4705,Truist Park,2024-2026
All,99,92,84,95,92,99,97,95,95,90,98,95,94,98,100,100,L,1,3,2026,140,21703,Rangers,5325,Globe Life Field,2024-2026
All,98,92,94,103,98,99,98,108,100,100,110,100,103,100,100,101,R,1,3,2026,108,31199,Angels,1,Angel Stadium,2024-2026
All,104,105,152,104,93,107,104,99,101,104,100,102,103,99,103,104,R,1,3,2026,110,26596,Orioles,2,Oriole Park at Camden Yards,2024-2026
All,107,103,87,106,97,98,104,90,103,104,103,102,103,97,99,98,R,1,3,2026,111,26954,Red Sox,3,Fenway Park,2024-2026
All,102,97,53,98,97,99,99,89,98,94,97,97,96,99,99,98,R,1,3,2026,145,27570,White Sox,4,Rate Field,2024-2026
All,100,106,77,103,110,100,98,84,102,100,110,100,102,96,103,101,R,1,3,2026,114,21785,Guardians,5,Progressive Field,2024-2026
All,99,116,155,99,102,104,103,94,101,104,90,102,99,101,102,103,R,1,3,2026,118,27240,Royals,7,Kauffman Stadium,2024-2026
All,96,102,127,98,89,95,100,115,97,100,101,100,101,101,99,100,R,1,3,2026,139,17944,Rays,12,Tropicana Field,2024-2026
All,104,101,72,100,103,102,103,108,102,106,92,103,100,103,100,101,R,1,3,2026,141,30010,Blue Jays,14,Rogers Centre,2024-2026
All,103,114,202,103,102,103,106,105,105,114,89,107,104,103,104,105,R,1,3,2026,109,26535,D-backs,15,Chase Field,2024-2026
All,96,76,104,93,106,101,93,103,96,90,99,95,93,101,99,99,R,1,3,2026,112,28927,Cubs,17,Wrigley Field,2024-2026
All,116,126,216,113,92,102,118,104,110,125,93,112,113,101,102,101,R,1,3,2026,115,29352,Rockies,19,Coors Field,2024-2026
All,94,95,69,98,106,99,99,132,100,106,97,103,102,106,101,101,R,1,3,2026,119,27887,Dodgers,22,UNIQLO Field at Dodger Stadium,2024-2026
All,106,108,78,101,97,101,101,71,101,96,98,98,98,96,101,100,R,1,3,2026,134,29036,Pirates,31,PNC Park,2024-2026
All,94,90,62,99,107,97,95,109,98,96,107,98,100,100,98,98,R,1,3,2026,158,28536,Brewers,32,American Family Field,2024-2026
All,88,85,43,94,95,95,88,98,90,81,120,90,94,95,99,99,R,1,3,2026,136,24830,Mariners,680,T-Mobile Park,2024-2026
All,97,99,86,101,97,96,99,109,98,100,105,100,102,100,98,97,R,1,3,2026,117,31517,Astros,2392,Daikin Park,2024-2026
All,100,94,71,99,102,97,99,105,100,100,97,100,99,102,98,97,R,1,3,2026,116,26648,Tigers,2394,Comerica Park,2024-2026
All,103,105,141,98,93,97,101,82,98,94,95,97,96,97,97,97,R,1,3,2026,137,27714,Giants,2395,Oracle Park,2024-2026
All,92,103,64,98,110,96,97,113,99,100,102,100,100,102,100,100,R,1,3,2026,113,29955,Reds,2602,Great American Ball Park,2024-2026
All,98,86,67,98,100,101,97,114,97,96,104,98,99,101,101,103,R,1,3,2026,135,27960,Padres,2680,Petco Park,2024-2026
All,105,95,124,103,88,99,103,101,99,100,103,100,102,98,99,97,R,1,3,2026,143,27782,Phillies,2681,Citizens Bank Park,2024-2026
All,108,108,78,98,94,102,103,78,100,96,88,98,95,98,100,98,R,1,3,2026,138,27068,Cardinals,2889,Busch Stadium,2024-2026
